entity,source_system,source_table,source_column,source_data_type,target_system,target_table,target_column,target_data_type,is_required_target,is_unique,not_null,rule_type,rule_args,null_handling,example
CUSTOMER,LEGACY,CUSTOMER_CIF,EMAIL,VARCHAR(120),TARGET,customer,email,VARCHAR(120),FALSE,FALSE,FALSE,direct_map,"{""validate_contains_at"": true}",blank_to_null,taiwo.adeyemi.5@gmail.com
CUSTOMER,LEGACY,CUSTOMER_CIF,BVN,VARCHAR(11),TARGET,customer,bvn,VARCHAR(11),FALSE,FALSE,FALSE,direct_map,{},blank_to_null,83863794026
CUSTOMER,LEGACY,CUSTOMER_CIF,NIN,VARCHAR(11),TARGET,customer,nin,VARCHAR(11),FALSE,FALSE,FALSE,direct_map,{},blank_to_null,54235116155
CUSTOMER,LEGACY,CUSTOMER_CIF,TIN,VARCHAR(10),TARGET,customer,tin,VARCHAR(10),FALSE,FALSE,FALSE,direct_map,{},blank_to_null,1234567890
CUSTOMER,LEGACY,CUSTOMER_CIF,RC_NO,VARCHAR(10),TARGET,customer,rc_no,VARCHAR(10),FALSE,FALSE,FALSE,direct_map,{},blank_to_null,RC1234567
CUSTOMER,LEGACY,CUSTOMER_CIF,ADDRESS_LINE,VARCHAR(160),TARGET,customer,address_line1,VARCHAR(160),FALSE,FALSE,FALSE,direct_map,"{""case"": ""title""}",keep_blank,153 Bode Thomas Close
CUSTOMER,LEGACY,CUSTOMER_CIF,CITY,VARCHAR(60),TARGET,customer,city,VARCHAR(60),FALSE,FALSE,FALSE,direct_map,"{""case"": ""title""}",keep_blank,GWOZA → Gwoza
CUSTOMER,LEGACY,CUSTOMER_CIF,STATE,VARCHAR(60),TARGET,customer,state,VARCHAR(60),FALSE,FALSE,FALSE,direct_map,"{""case"": ""title""}",keep_blank,BORNO → Borno
CUSTOMER,LEGACY,CUSTOMER_CIF,COUNTRY,CHAR(2),TARGET,customer,country,CHAR(2),FALSE,FALSE,FALSE,direct_map,"{""case"": ""upper""}",keep_blank,NG → NG
CASA,LEGACY,LEG_CASA_ACCT,ACCT_NO,VARCHAR(20),TARGET,CASA_ACCOUNT,legacy_acct_no,VARCHAR(20),TRUE,TRUE,TRUE,direct_map,"{""trim"": true}",error_if_blank,1002003001
CASA,LEGACY,LEG_CASA_ACCT,ACCT_NO,VARCHAR(20),TARGET,CASA_ACCOUNT,account_uuid,UUID,TRUE,TRUE,TRUE,manual,"{""generate"": ""uuid_v4"", ""source"": ""ACCT_NO""}",error_if_blank,550e8400-e29b-41d4-a716-446655440000
CASA,LEGACY,LEG_CASA_ACCT,CUST_ID,VARCHAR(10),TARGET,CASA_ACCOUNT,customer_uuid,UUID,TRUE,FALSE,TRUE,manual,"{""lookup_from"": ""xform_cust_no_mapping"", ""join_on"": {""cust_no"": ""CUST_ID""}, ""select"": ""customer_uuid""}",error_if_blank,C0001 → U-CUST-001
CASA,LEGACY,LEG_CASA_ACCT,ACCT_NAME,VARCHAR(120),TARGET,CASA_ACCOUNT,account_name,VARCHAR(140),FALSE,FALSE,FALSE,direct_map,"{""trim"": true, ""case"": ""title""}",blank_to_null,ADEOLA ABDULLAHI NNADI
CASA,LEGACY,LEG_CASA_ACCT,ACCT_TYPE_CODE,INT,TARGET,CASA_ACCOUNT,account_type,VARCHAR(20),TRUE,FALSE,TRUE,map_values,"{""10"": ""CURRENT"", ""20"": ""SAVINGS"", ""default"": ""UNKNOWN""}",blank_to_null,10→CURRENT
CASA,LEGACY,LEG_CASA_ACCT,ACCT_TYPE_CODE,INT,TARGET,CASA_ACCOUNT,sharia_basis,VARCHAR(20),TRUE,FALSE,TRUE,map_values,"{""10"": ""QARD"", ""20"": ""WADIAH"", ""default"": ""UNKNOWN""}",blank_to_null,20→WADIAH
CASA,LEGACY,LEG_CASA_ACCT,PRODUCT_CODE,VARCHAR(20),TARGET,CASA_ACCOUNT,product_code,VARCHAR(30),FALSE,FALSE,FALSE,direct_map,"{}",blank_to_null,QARD_CUR
CASA,LEGACY,LEG_CASA_ACCT,CURRENCY,CHAR(3),TARGET,CASA_ACCOUNT,currency,CHAR(3),TRUE,FALSE,TRUE,map_values,"{""default"": ""NGN""}",keep_blank,NGN
CASA,LEGACY,LEG_CASA_ACCT,OPEN_DATE,VARCHAR(11),TARGET,CASA_ACCOUNT,open_date,DATE,TRUE,FALSE,TRUE,parse_date,"{""format"": ""DD-MON-YYYY""}",blank_to_null,17-JAN-2017→2017-01-17
CASA,LEGACY,LEG_CASA_ACCT,LAST_TXN_DATE,VARCHAR(11),TARGET,CASA_ACCOUNT,last_activity_date,DATE,FALSE,FALSE,FALSE,parse_date,"{""format"": ""DD-MON-YYYY""}",blank_to_null,13-JAN-2018→2018-01-13
CASA,LEGACY,LEG_CASA_ACCT,DORMANCY_DATE,VARCHAR(11),TARGET,CASA_ACCOUNT,dormancy_date,DATE,FALSE,FALSE,FALSE,parse_date,"{""format"": ""DD-MON-YYYY""}",blank_to_null,08-JAN-2019→2019-01-08
CASA,LEGACY,LEG_CASA_ACCT,STATUS_CODE,CHAR(1),TARGET,CASA_ACCOUNT,status,VARCHAR(20),TRUE,FALSE,TRUE,map_values,"{""A"": ""ACTIVE"", ""D"": ""DORMANT"", ""I"": ""INACTIVE"", ""F"": ""FROZEN"", ""C"": ""CLOSED"", ""default"": ""UNKNOWN""}",blank_to_null,F→FROZEN
CASA,LEGACY,LEG_CASA_ACCT,RESTRICTION_CODE,INT,TARGET,CASA_ACCOUNT,is_debit_blocked,BOOLEAN,TRUE,FALSE,TRUE,map_values,"{""1"": ""true"", ""2"": ""false"", ""3"": ""true"", ""default"": ""false""}",keep_blank,1→true
CASA,LEGACY,LEG_CASA_ACCT,RESTRICTION_CODE,INT,TARGET,CASA_ACCOUNT,is_credit_blocked,BOOLEAN,TRUE,FALSE,TRUE,map_values,"{""1"": ""false"", ""2"": ""true"", ""3"": ""true"", ""default"": ""false""}",keep_blank,2→true
CASA,LEGACY,LEG_CASA_ACCT,RESTRICTION_CODE,INT,TARGET,CASA_ACCOUNT,is_fully_frozen,BOOLEAN,TRUE,FALSE,TRUE,manual,"{""logic"": ""restriction_code=3 OR status_code='F'""}",keep_blank,3→true
CASA,LEGACY,LEG_CASA_ACCT,RESTRICTION_CODE,INT,TARGET,CASA_ACCOUNT,restriction_reason,VARCHAR(60),FALSE,FALSE,FALSE,map_values,"{""0"": """", ""1"": ""DEBIT_BLOCK"", ""2"": ""CREDIT_BLOCK"", ""3"": ""FULL_FREEZE""}",blank_to_null,3→FULL_FREEZE
CASA,LEGACY,LEG_CASA_ACCT,LEDGER_BAL_KOBO,BIGINT,TARGET,CASA_ACCOUNT,ledger_balance,"DECIMAL(18,2)",TRUE,FALSE,TRUE,convert_kobo_to_naira,"{""scale"": 2}",blank_to_null,15000000→150000.00
CASA,LEGACY,LEG_CASA_ACCT,LIEN_AMT_KOBO,BIGINT,TARGET,CASA_ACCOUNT,lien_amount,"DECIMAL(18,2)",TRUE,FALSE,TRUE,convert_kobo_to_naira,"{""scale"": 2}",blank_to_null,5000000→50000.00
CASA,LEGACY,LEG_CASA_ACCT,"LEDGER_BAL_KOBO,BIGINT + LIEN_AMT_KOBO,BIGINT",DERIVED,TARGET,CASA_ACCOUNT,available_balance,"DECIMAL(18,2)",TRUE,FALSE,TRUE,manual,"{""formula"": ""(LEDGER_BAL_KOBO - COALESCE(LIEN_AMT_KOBO,0))/100""}",keep_blank,(50000000-5000000)/100=450000.00
CASA,LEGACY,LEG_CASA_ACCT,OD_LIMIT_KOBO,BIGINT,TARGET,CASA_ACCOUNT,overdraft_limit,"DECIMAL(18,2)",TRUE,FALSE,TRUE,convert_kobo_to_naira,"{""scale"": 2}",blank_to_null,100000000→1000000.00
CASA,LEGACY,LEG_CASA_ACCT,BRANCH_CODE,VARCHAR(3),TARGET,CASA_ACCOUNT,branch_id,VARCHAR(10),FALSE,FALSE,FALSE,prefix_value,"{""prefix"": ""BR-""}",blank_to_null,093→BR-093
CASA,LEGACY,LEG_CASA_ACCT,N/A,N/A,TARGET,CASA_ACCOUNT,created_at,TIMESTAMP,FALSE,FALSE,TRUE,manual,"{""system_default"": ""now()""}",keep_blank,(auto)
CASA,LEGACY,LEG_CASA_ACCT,N/A,N/A,TARGET,CASA_ACCOUNT,updated_at,TIMESTAMP,FALSE,FALSE,TRUE,manual,"{""system_default"": ""now()""}",keep_blank,(auto)
